olving Korf's 50 puzzles with small-compound.cat with and with a depth 20 FSM.
The FSM used is the initial, broken implementation.
Here, the solver has been configured to expand every iteration completely.

puzzle                                                           dst     with FSM       no FSM   ratio prune %
10,3,24,12,0,7,8,11,14,21,22,23,2,1,9,17,18,6,20,4,13,15,5,19,16  96     38414838     21540530 1.78337 43.9265
2,17,4,13,7,12,10,3,0,16,21,24,8,5,18,20,15,19,14,9,22,11,6,1,23  82     43639083     18587992 2.34770 57.4052
8,12,18,3,2,11,10,22,24,17,1,13,23,4,20,16,6,15,9,21,19,5,14,0,7  93     92180960     36591251 2.51921 60.3050
3,17,9,8,24,1,11,12,14,0,5,4,22,13,16,21,15,6,7,10,20,23,2,18,19  81    174877255     89543195 1.95299 48.7965
17,15,7,12,8,3,4,9,21,5,16,6,19,20,1,22,24,18,11,14,23,10,2,13,0  98    446352074    195283644 2.28566 56.2490
14,5,9,2,18,8,23,19,12,17,15,0,10,20,4,6,11,21,1,7,24,3,16,22,13  95    838588794    327611884 2.55970 60.9330
23,22,5,3,9,6,18,15,10,2,21,13,19,12,20,7,0,1,16,24,17,4,14,8,11 100   1328611934    523097815 2.53989 60.6282
2,10,1,7,16,9,0,6,12,11,3,18,22,4,13,24,20,15,8,14,21,23,17,19,5  90   1420890986    528840686 2.68680 62.7811
8,19,7,16,12,2,13,22,14,9,11,5,6,3,18,24,0,15,10,23,1,20,4,17,21  92   1495856271    520641592 2.87310 65.1944
7,6,3,22,15,19,21,2,13,0,8,10,9,4,18,16,11,24,5,12,17,1,23,14,20  95   1609366121    540249579 2.97893 66.4309
18,24,17,11,12,10,19,15,6,1,5,21,22,9,7,3,2,16,14,4,20,23,0,8,13  96   1700741656    773087675 2.19993 54.5441
17,1,20,9,16,2,22,19,14,5,15,21,0,3,24,23,18,13,12,7,10,8,6,4,11 100   2216693467    799117194 2.77393 63.9500
1,12,18,13,17,15,3,7,20,0,19,24,6,5,21,11,2,8,9,16,22,10,4,23,14  97   2880711313    925678793 3.11200 67.8663
21,24,8,1,19,22,12,9,7,18,4,0,23,14,10,6,3,11,16,5,15,2,20,13,17 101   3457188325   1280842020 2.69915 62.9513
9,19,8,20,2,3,14,1,24,6,13,18,7,10,17,5,22,12,21,16,15,0,23,11,4  99   6400620663   2196542143 2.91395 65.6824
10,3,6,13,1,2,20,14,18,11,15,7,5,12,9,24,17,22,4,8,21,23,19,16,0  88  10617095293   2898550007 3.66290 72.6992
18,14,0,9,8,3,7,19,2,15,5,12,1,13,24,23,4,21,10,20,16,22,11,6,17  98  11009893227   4500839301 2.44619 59.1200
2,21,3,7,0,8,5,14,18,6,12,11,23,20,10,15,17,4,9,16,13,19,24,22,1 100  13189936793   4473658495 2.94836 66.0828
21,11,10,4,16,6,13,24,7,14,1,20,9,17,0,15,2,5,8,22,3,12,18,19,23  92  13740432338   3578526873 3.83969 73.9562
7,4,19,12,16,20,15,23,8,10,1,18,2,17,14,24,9,5,0,21,6,3,11,13,22 104  14985730769   5075797607 2.95239 66.1291
19,20,12,21,7,0,16,10,5,9,14,23,3,11,4,2,6,1,8,15,17,13,22,24,18  99  16538873557   5888580960 2.80863 64.3955
2,0,10,19,1,4,16,3,15,20,22,9,6,18,5,13,12,21,8,17,23,11,24,7,14 101  22802873386   6276103608 3.63329 72.4767
2,10,24,11,22,19,0,3,8,17,15,16,6,4,23,20,18,7,9,14,13,5,12,1,21  98  25874968588   7780978712 3.32541 69.9285
22,21,15,3,14,13,9,19,24,23,16,0,7,10,18,4,11,20,8,2,1,6,5,17,12 105  27069584639  10482996195 2.58224 61.2739
6,0,24,14,8,5,21,19,9,17,16,20,10,13,2,15,11,22,1,3,7,23,4,18,12  97  28007155737  10121690250 2.76704 63.8603
13,19,9,10,14,15,23,21,24,16,12,11,0,5,22,20,4,18,3,1,6,2,7,17,8 106  28886723529   9545456902 3.02623 66.9556
1,16,10,14,17,13,0,3,5,7,4,15,19,2,21,9,23,8,12,6,11,24,22,20,18 100  29386195023   8969979752 3.27606 69.4755
4,5,1,23,21,13,2,10,18,17,15,7,0,9,3,14,11,12,19,8,6,20,24,22,16  92  35226091222   8266603473 4.26125 76.5327
