10,3,24,12,0,7,8,11,14,21,22,23,2,1,9,17,18,6,20,4,13,15,5,19,16  96      4757623      3177196 1.49743 33.2188
2,17,4,13,7,12,10,3,0,16,21,24,8,5,18,20,15,19,14,9,22,11,6,1,23  82     17556908      7877405 2.22877 55.1322
8,12,18,3,2,11,10,22,24,17,1,13,23,4,20,16,6,15,9,21,19,5,14,0,7  93     55739860     24177753 2.30542 56.6239
3,17,9,8,24,1,11,12,14,0,5,4,22,13,16,21,15,6,7,10,20,23,2,18,19  81     70762061     36478675 1.93982 48.4488
23,22,5,3,9,6,18,15,10,2,21,13,19,12,20,7,0,1,16,24,17,4,14,8,11 100    147766121     67825033 2.17864 54.0997
14,5,9,2,18,8,23,19,12,17,15,0,10,20,4,6,11,21,1,7,24,3,16,22,13  95    198113888     81683308 2.42539 58.7695
17,15,7,12,8,3,4,9,21,5,16,6,19,20,1,22,24,18,11,14,23,10,2,13,0  98    296626122    133084574 2.22885 55.1339
17,1,20,9,16,2,22,19,14,5,15,21,0,3,24,23,18,13,12,7,10,8,6,4,11 100    436906949    176491254 2.47552 59.6044
8,19,7,16,12,2,13,22,14,9,11,5,6,3,18,24,0,15,10,23,1,20,4,17,21  92    488244021    167245361 2.91933 65.7455
18,24,17,11,12,10,19,15,6,1,5,21,22,9,7,3,2,16,14,4,20,23,0,8,13  96    488549193    230864131 2.11618 52.7450
21,24,8,1,19,22,12,9,7,18,4,0,23,14,10,6,3,11,16,5,15,2,20,13,17 101    493941444    213408084 2.31454 56.7949
1,12,18,13,17,15,3,7,20,0,19,24,6,5,21,11,2,8,9,16,22,10,4,23,14  97    586362113    208082859 2.81793 64.5129
2,10,1,7,16,9,0,6,12,11,3,18,22,4,13,24,20,15,8,14,21,23,17,19,5  90    755637259    280265950 2.69614 62.9100
7,6,3,22,15,19,21,2,13,0,8,10,9,4,18,16,11,24,5,12,17,1,23,14,20  95   1203937313    407809975 2.95220 66.1270
18,14,0,9,8,3,7,19,2,15,5,12,1,13,24,23,4,21,10,20,16,22,11,6,17  98   2782255046   1207510628 2.30412 56.5996
9,19,8,20,2,3,14,1,24,6,13,18,7,10,17,5,22,12,21,16,15,0,23,11,4  99   3234337537   1099342260 2.94207 66.0103
1,16,10,14,17,13,0,3,5,7,4,15,19,2,21,9,23,8,12,6,11,24,22,20,18 100   5526301463   1738993192 3.17787 68.5324
19,20,12,21,7,0,16,10,5,9,14,23,3,11,4,2,6,1,8,15,17,13,22,24,18  99   5781130518   2135355753 2.70734 63.0634
21,11,10,4,16,6,13,24,7,14,1,20,9,17,0,15,2,5,8,22,3,12,18,19,23  92   6505028312   1693626848 3.84089 73.9643
10,3,6,13,1,2,20,14,18,11,15,7,5,12,9,24,17,22,4,8,21,23,19,16,0  88   6782635655   1826393998 3.71368 73.0725
24,11,18,7,3,17,5,1,23,15,21,8,2,4,19,14,0,16,22,6,9,13,20,12,10 104   7654668757   2705075631 2.82974 64.6611
2,10,24,11,22,19,0,3,8,17,15,16,6,4,23,20,18,7,9,14,13,5,12,1,21  98   8235970833   2828412315 2.91187 65.6578
13,19,9,10,14,15,23,21,24,16,12,11,0,5,22,20,4,18,3,1,6,2,7,17,8 106   8439842674   2987982339 2.82460 64.5967
22,21,15,3,14,13,9,19,24,23,16,0,7,10,18,4,11,20,8,2,1,6,5,17,12 105   8689248625   3766970790 2.30669 56.6479
2,21,3,7,0,8,5,14,18,6,12,11,23,20,10,15,17,4,9,16,13,19,24,22,1 100  10726478785   3710108279 2.89115 65.4117
7,4,19,12,16,20,15,23,8,10,1,18,2,17,14,24,9,5,0,21,6,3,11,13,22 104  11584525272   3802877767 3.04625 67.1728
