2,13,5,4,1,22,24,21,9,3,18,19,8,11,10,16,14,7,20,0,23,12,15,17,6
1,11,8,14,18,3,6,21,22,5,24,9,16,20,23,7,13,10,4,12,2,19,17,0,15
20,0,7,23,13,10,16,17,2,19,9,8,18,14,6,4,15,5,1,24,3,22,12,11,21
7,22,14,19,23,10,0,5,21,4,13,6,2,18,9,8,16,15,1,17,11,24,12,20,3
1,14,13,3,15,17,10,18,0,9,5,22,16,2,19,20,24,23,4,8,7,11,21,12,6
23,11,19,2,9,5,1,21,18,15,13,10,8,22,3,6,24,20,16,14,4,12,7,17,0
22,19,8,9,3,24,7,10,1,17,4,12,2,0,11,6,13,16,20,15,5,14,23,21,18
19,2,7,5,1,20,12,9,23,22,15,8,16,18,11,21,17,10,14,24,13,4,6,3,0
5,1,20,9,12,6,10,11,15,17,23,8,21,7,3,13,16,19,22,4,2,24,0,14,18
14,0,7,18,13,1,21,10,12,4,5,17,15,2,23,19,8,16,22,24,20,9,6,11,3
2,3,4,19,7,15,17,11,0,24,9,1,8,12,13,10,5,22,16,20,23,6,14,18,21
19,24,7,14,8,11,6,4,5,10,0,17,2,18,16,9,1,3,23,20,22,15,13,21,12
6,0,10,13,24,23,18,11,3,2,17,22,7,19,14,16,12,9,20,8,1,5,21,15,4
21,7,11,9,12,2,13,17,15,19,22,10,14,1,3,16,0,20,24,23,8,5,4,18,6
7,24,16,1,22,19,14,15,11,13,23,10,6,4,2,3,9,17,20,21,18,12,5,8,0
8,17,24,23,10,19,4,3,11,6,1,12,22,14,18,21,0,5,2,7,15,16,20,9,13
20,16,19,0,22,17,24,5,6,23,4,1,2,21,11,10,9,12,14,13,7,8,3,18,15
10,11,23,6,2,15,9,16,18,21,5,14,0,17,19,3,12,8,4,7,20,1,22,13,24
10,18,5,0,14,16,24,17,11,23,19,21,1,13,3,7,12,4,20,9,8,22,2,15,6
3,16,6,23,17,14,13,4,20,15,2,0,22,12,1,24,9,11,8,10,5,18,19,21,7
4,21,13,6,10,2,19,23,7,8,12,3,16,11,24,5,9,20,14,15,1,0,22,17,18
10,4,2,13,5,11,8,20,21,23,22,3,0,24,16,18,15,17,12,19,1,9,14,7,6
13,0,8,21,14,15,19,9,3,7,1,6,12,16,18,4,5,23,24,17,20,10,11,2,22
17,0,8,24,18,15,11,16,14,19,10,7,23,20,21,3,6,9,4,1,5,12,13,2,22
23,0,13,8,18,2,7,17,4,11,1,5,16,22,9,6,20,24,21,15,14,3,19,12,10
6,14,24,21,15,17,2,10,8,13,11,22,12,4,5,23,1,9,3,20,7,0,19,18,16
5,12,15,7,1,19,13,9,17,20,11,21,8,3,10,18,24,22,14,16,2,0,23,4,6
8,5,12,22,11,7,14,20,19,9,17,15,10,0,6,3,23,4,13,24,2,1,21,18,16
17,5,12,22,6,16,9,24,18,3,8,13,2,4,19,7,10,23,20,1,21,0,11,14,15
0,16,24,2,9,15,8,7,5,23,19,22,12,17,14,1,13,20,21,4,10,18,11,3,6
22,5,11,9,14,3,7,23,0,6,18,21,1,17,16,10,15,2,13,4,20,19,24,8,12
7,5,14,1,20,6,10,13,15,12,21,8,17,18,22,23,16,19,2,0,3,24,4,9,11
