2,13,5,4,1,22,24,21,9,3,18,19,8,11,10,16,14,7,20,0,23,12,15,17,6     121257 80.15  87 18 22 22 25 3,7,8,11,12,15 10,16,17,20,21,22 1,2,4,5,6,9 13,14,18,19,23,24
1,11,8,14,18,3,6,21,22,5,24,9,16,20,23,7,13,10,4,12,2,19,17,0,15     317407 80.29  89 21 23 20 25 3,7,8,9,14,18 4,12,13,17,19,22 1,2,5,6,10,11 15,16,20,21,23,24
20,0,7,23,13,10,16,17,2,19,9,8,18,14,6,4,15,5,1,24,3,22,12,11,21          7 78.44  87 17 21 25 24 2,6,7,13,14,19 10,12,16,17,20,23 1,5,8,9,11,18 3,4,15,21,22,24
7,22,14,19,23,10,0,5,21,4,13,6,2,18,9,8,16,15,1,17,11,24,12,20,3          3 79.67  84 22 18 22 22 1,2,5,6,10,22 9,12,13,17,18,23 3,4,7,14,19,21 8,11,15,16,20,24
1,14,13,3,15,17,10,18,0,9,5,22,16,2,19,20,24,23,4,8,7,11,21,12,6      57405 80.85  76 19 23 18 16 3,4,8,9,13,14 7,11,15,16,17,20 1,2,5,6,10,12 18,19,21,22,23,24
23,11,19,2,9,5,1,21,18,15,13,10,8,22,3,6,24,20,16,14,4,12,7,17,0       5895 79.72  82 21 23 17 21 4,8,9,14,18,19 3,16,17,21,22,23 1,2,5,6,11,15 7,10,12,13,20,24
22,19,8,9,3,24,7,10,1,17,4,12,2,0,11,6,13,16,20,15,5,14,23,21,18   23521156 81.13  85 19 21 19 26 3,4,8,9,13,14 11,12,15,16,17,20 1,2,5,6,7,10 18,19,21,22,23,24
19,2,7,5,1,20,12,9,23,22,15,8,16,18,11,21,17,10,14,24,13,4,6,3,0     393960 79.71  82 19 17 21 25 1,2,5,7,15,20 6,10,11,16,17,21 4,8,9,12,13,14 3,18,19,22,23,24
5,1,20,9,12,6,10,11,15,17,23,8,21,7,3,13,16,19,22,4,2,24,0,14,18        471 79.97  76 20 20 17 19 10,11,15,16,20,21 7,8,12,14,17,22 1,2,3,4,5,9 6,13,18,19,23,24
14,0,7,18,13,1,21,10,12,4,5,17,15,2,23,19,8,16,22,24,20,9,6,11,3       2520 80.37  77 23 20 17 17 4,7,8,9,13,14 11,15,16,17,19,22 1,2,5,6,10,12 3,18,20,21,23,24
2,3,4,19,7,15,17,11,0,24,9,1,8,12,13,10,5,22,16,20,23,6,14,18,21       4425 80.56  74 17 21 18 18 1,2,5,6,10,15 16,18,20,21,22,23 3,4,7,8,9,11 12,13,14,17,19,24
19,24,7,14,8,11,6,4,5,10,0,17,2,18,16,9,1,3,23,20,22,15,13,21,12        418 80.08  88 21 20 22 25 1,5,6,10,11,15 4,12,13,17,18,19 2,3,7,8,9,14 16,20,21,22,23,24
6,0,10,13,24,23,18,11,3,2,17,22,7,19,14,16,12,9,20,8,1,5,21,15,4      30649 80.61  81 18 22 19 22 15,16,17,20,21,22 9,11,12,13,18,23 1,2,5,6,7,10 3,4,8,14,19,24
21,7,11,9,12,2,13,17,15,19,22,10,14,1,3,16,0,20,24,23,8,5,4,18,6    1069516 80.60  84 19 23 22 20 3,4,9,14,17,19 11,15,16,20,21,22 1,2,5,6,7,10 8,12,13,18,23,24
7,24,16,1,22,19,14,15,11,13,23,10,6,4,2,3,9,17,20,21,18,12,5,8,0        294 79.70 100 26 22 22 30 2,8,9,13,14,20 3,4,7,11,12,21 1,5,6,10,15,16 17,18,19,22,23,24
8,17,24,23,10,19,4,3,11,6,1,12,22,14,18,21,0,5,2,7,15,16,20,9,13       5835 80.70  86 20 14 26 26 3,4,8,11,12,17 9,15,16,20,21,22 1,2,5,6,7,10 13,14,18,19,23,24
20,16,19,0,22,17,24,5,6,23,4,1,2,21,11,10,9,12,14,13,7,8,3,18,15        183 79.74  97 24 24 27 22 3,11,12,15,17,21 2,6,7,10,20,22 1,4,5,8,9,16 13,14,18,19,23,24
10,11,23,6,2,15,9,16,18,21,5,14,0,17,19,3,12,8,4,7,20,1,22,13,24   38602059 81.36  72 22 15 20 15 3,4,7,8,9,12 15,16,17,20,21,22 1,2,5,6,10,11 13,14,18,19,23,24
10,18,5,0,14,16,24,17,11,23,19,21,1,13,3,7,12,4,20,9,8,22,2,15,6       1044 79.75  93 19 27 22 25 2,7,10,12,16,17 1,5,6,11,15,23 3,4,8,9,13,14 18,19,20,21,22,24
3,16,6,23,17,14,13,4,20,15,2,0,22,12,1,24,9,11,8,10,5,18,19,21,7       3370 79.59  97 25 26 22 24 1,5,7,18,19,21 11,15,16,17,20,22 2,3,4,6,9,10 8,12,13,14,23,24
4,21,13,6,10,2,19,23,7,8,12,3,16,11,24,5,9,20,14,15,1,0,22,17,18      57736 80.37  81 20 22 22 17 3,11,12,14,15,16 4,8,9,13,18,19 1,2,5,6,7,10 17,20,21,22,23,24
10,4,2,13,5,11,8,20,21,23,22,3,0,24,16,18,15,17,12,19,1,9,14,7,6         48 77.59  90 20 27 22 21 3,6,7,10,11,19 1,9,15,20,22,23 2,4,5,8,13,14 12,16,17,18,21,24
13,0,8,21,14,15,19,9,3,7,1,6,12,16,18,4,5,23,24,17,20,10,11,2,22        696 80.35  79 23 19 21 16 1,2,5,6,10,15 9,17,18,19,22,23 3,4,7,8,12,13 11,14,16,20,21,24
