Node expansions from the Döbbelin et al. paper.

id   d       6-6-6-6        8-8-8        9-8-7        9-9-6       max-of
40  82      26320497     49291000     26655910     10486000      7166383
38  96      58097633      9577883      3573949      1906127      1638334
25  81     127949696    118780897     85141009     17658986     15217162
44  93     181555996     37853812     11869090      7686937      5547600
32  97     399045498    281515091    232222028    117317314     67570393
28  98     450493295    114571662     36263727     25552985     19743793
22  95     581539254     82503279     88652504     81038427     37858513
36  90     603580192    408261989    252309866    133482919     95563302
30  92     661835606    256431250    158409200     99557684     52338447
 1  95    1059622872    199198406    163950295    133060463     63948759
29  88    1090385785    128886129     34814333     59609938     21223415
37 100    1646715005    628890120    725323664    542573720    331223844
16  96    1783144872   1729554795    966783772    387360939    296519726
 5 100    1859102197   3125977623   1078990063    905861248    565263022
13 101    1979587555   1181771575    690327991    444476728    268475464
47  92    4385270986   3825636827   4520442316   1479759728    960463883
 3  97    4805007493   5699072723   6731407433   2146564697   1113194453
 4  98    5154861019   1361290863    581368420    632299449    370467747
26 105    6039700647   4993857550   2525926189   1337993889    955364988
31  99    7785405374   3653831114   2058364161   1622465469    992726542
27  99    7884559441   1415859414    611960188    432345846    337466232
41 106    8064453928   1737010534   1123917776    561944277    455028148
43 104    8816151498   4378714353   3498876258   1532474999   1090696435
 6 101    9810208759   2397434227   1982606973   2739184006   1053141115
49 100   11220738849   5526627744   4160235910   2792736271   1587674537
45 101   17068061084   5614562048   2909124921   2408543192   1339279458
20  92   20689215063   9014702404   4354383611   1615310063   1378812797
46 100   21674806323   9872851915  10304210129   8017940089   3402288275
19 106   22761173348   6759987121   4019764127   2836304399   2125081076
35  98   23049423391   8584994059   4998934055   3208321325   2369834229
 7 104   27686193468  26781188637  19232502973   6429879587   4395653789
 8 108   29575219906   4318849565   4366429730   2609051057   1727994805
39 104   34198605172  22810919845   6881101921   2912577301   2428595642
42 108   37492323962   9339335844   7508532598   3490897448   2697310294
24 107   38272741957  25802863114  15170752402   4724091699   3837236834
 2  96   40161477151  29318072174  28011360591  14446211551   8963348921
15 103   52178879610  26951022561  18771225751   9741418794   8075823446
23 104   54281904788  36611741317  32729241923  11103574065   8930804356
48 107   58365224981  99614525233  68013167519  19890964633  12563246704
34 102   59225710222  49923377951  24336781035   7384409074   5346161078
12 109   76476143041  43132155298  14260876794   5820163959   4265458902
21 103   98083647769  25411173479  18746227139  13731206789   8402416300
18 110  126470260027  18375847744  18999810842  15070620942   7809249544
 9 113  132599245368  82839919151  33749539711  22489080304  16927179096
33 106  134103676989  77163409262  57402766270  42219474099  25271466707
17 109  143972316747  49516974145  25000824805  20405484237  15304298302
11 106  309253017124  22602670676   7683989291   8343197181   4678739173
14 111  312885453572 419699251120 360169788945  74779904961  63056188490
10 114  525907193133 207752246775 192243603386 105311763457  63629118230
50 113 1067321687213 334283260227 168384195109 152720707871 100026128248
